Brand,Date,District,Engine_capacity,Engine_power,From_who,Fuel_type,Gear_type,Kilometer,Model,Model_year,Price,Title,Variant
Ford,15/02/2021,Esenyurt/Merkez,1301-1600 cc,Bilmiyorum,Galeriden,Benzin,Yarı Otomatik Vites,108000,Mondeo,2015,192000,GÜLKAR DAN  108.000 KM DE  2015 FORD MONDEO STYLE OTOMATİK Ford Mondeo 1.5 Ecoboost Style,1.5 Ecoboost Style
Ford,15/02/2021,Merkez/Merkez,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,252000,Fiesta,2003,56500,2003 FİESTA 1.4 TDCİ DEĞİŞENSİZ 2 PARÇA BOYALI BAKIMLI TERTEMİZ Ford Fiesta 1.4 TDCi Comfort,1.4 TDCi Comfort
Ford,15/02/2021,Akdeniz/Merkez,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,138900,Focus,2016,155900,Fatih den  HATASIZzZ-BOYASIZzZ-HASAR KAYITSIZ-2016-DİZEL-FOCUS   Ford Focus 1.6 TDCi Trend X,1.6 TDCi Trend X
Ford,15/02/2021,Nurdağı/Merkez,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,290000,Focus,2017,185000,HATASIZ FOCUS Ford Focus 1.5 TDCi Titanium,1.5 TDCi Titanium
Ford,15/02/2021,Nurdağı/Merkez,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,310000,Focus,2010,95000,SİTENİN EN UCUZU HASAR KAYITSIZ Ford Focus 1.6 TDCi Trend X,1.6 TDCi Trend X
Ford,15/02/2021,Nurdağı/Merkez,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,298000,Focus,2011,129000,HATASIZ BOYASIZ STAR STOPLU EN FULU Ford Focus 1.6 TDCi Titanium X,1.6 TDCi Titanium X
Ford,15/02/2021,Şehitkamil/Merkez,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,189000,Focus,2016,162000,2016 HATASIZ İLK EL BOYASIZ FORD FOCUSTREND X OTOMATİK 1.5 DİZEL Ford Focus 1.5 TDCi Trend X,1.5 TDCi Trend X
Ford,15/02/2021,Akyurt/Akyurt,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,114000,Focus,2014,141900,114.000 KM ORJİNAL    MASRAFSIZ Ford Focus 1.6 TDCi Trend X,1.6 TDCi Trend X
Ford,15/02/2021,Şehitkamil/Merkez,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,288000,Fiesta,2010,72000,ORJINAL DIZEL KAYITSIZ 2010 TREND BEYAZ Ford Fiesta 1.4 TDCi Trend,1.4 TDCi Trend
Ford,15/02/2021,Şehitkamil/Merkez,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,249000,Focus,2013,121900,2013 DIZEL TREND X ORJINAL 249 BINDE Ford Focus 1.6 TDCi Trend X,1.6 TDCi Trend X
Ford,15/02/2021,Bağcılar/Mahmutbey,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,66500,Focus,2016,195000,DEĞİŞENSİZ TEMİZ DÜŞÜK KM Ford Focus 1.5 TDCi Style,1.5 TDCi Style
Ford,15/02/2021,Merkez/Merkez,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,250000,Focus,2011,83000,ATO MOTORS FORD FOCUS 1.6 TDCI COLLECTİON 250.000 KM Ford Focus 1.6 TDCi Collection,1.6 TDCi Collection
Ford,15/02/2021,Bor/Merkez,1601-1800 cc,Bilmiyorum,Galeriden,Benzin/LPG,Düz Vites,255000,Escort,1996,29500,TOFAŞ PARASINA AVRUPA ARAÇ - HİDROLİK DİREKSİYON - ZTEC MOTOR Ford Escort 1.8 CLX,1.8 CLX
Ford,15/02/2021,Pendik/Merkez,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,121602,C-Max,2012,144500,-EŞİYOK-PENDİK 2012 C-Max Titanium  Otomatik Park Asistanlı   Ford C-Max 1.6 TDCi Titanium,1.6 TDCi Titanium
Ford,15/02/2021,Bağcılar/Bağcılar,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,101000,Focus,2017,179000,2017 1.5 TDCI FOCUS SEDAN OTOMOTİK HATASIZ BOYASIZ GERİ GÖRÜŞ VS Ford Focus 1.5 TDCi Trend X,1.5 TDCi Trend X
Ford,15/02/2021,Bağcılar/Bağcılar,1301-1600 cc,Bilmiyorum,Galeriden,Benzin/LPG,Otomatik Vites,317000,Focus,2004,68000,BENZİN OTOMATİK 2004 MODEL FOCUS Ford Focus 1.6 Ghia,1.6 Ghia
Ford,15/02/2021,İlkadım,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,225000,Fiesta,2006,70250,2006 Model Ford Fiesta Ford Fiesta 1.4 TDCi Collection,1.4 TDCi Collection
Ford,15/02/2021,,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,202000,Focus,2008,83000,2008 FORD FOCUS 1.6 TDCİ TREND 90 HP 200 KM DE Ford Focus 1.6 TDCi Trend,1.6 TDCi Trend
Ford,15/02/2021,Merkez/Sürsürü,1300 cc ve altı,Bilmiyorum,Galeriden,Dizel,Düz Vites,132000,Fiesta,2011,118000,FORD FİESTA 1.4 TDCİ TİTANİUM X PLUS FULL FULL PAKET Ford Fiesta 1.4 TDCi Titanium X,Diğer
Ford,15/02/2021,Bağcılar/Bağcılar,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,114000,Focus,2017,197750,Focus 1.5 TDCI Titanium Powershift otomatik orjinal servis bakım Ford Focus 1.5 TDCi Titanium,1.5 TDCi Titanium
Ford,15/02/2021,Erdemli/Erdemli,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,26000,Focus,2018,195000,MUZAFFER OTOMOTİVDEN HATASIZ BOYASIZ 1.5 DİZEL 120 HP Ford Focus 1.5 TDCi Trend X,1.5 TDCi Trend X
Ford,15/02/2021,Erdemli/Erdemli,1301-1600 cc,Bilmiyorum,Galeriden,Benzin/LPG,Düz Vites,130000,Focus,2011,98000,MUZAFFER OTOMOTİV DEN 130 BİNDE FORD FOCUS Ford Focus 1.6 Comfort,1.6 Comfort
Ford,15/02/2021,Akyurt/Akyurt,1301-1600 cc,Bilmiyorum,Galeriden,Benzin/LPG,Düz Vites,210000,Focus,2004,72750,2004 FORD FOCUS 1.6 COMFORT LPGLİ MUAYENELİ MASRAFSIZ EMSALSİZ Ford Focus 1.6 Comfort,1.6 Comfort
Ford,15/02/2021,Darıca/Darıca,1801-2000 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,144000,Kuga,2011,180000,YETKİLİ SERVİSTEN FORD KUGA 2.0 TDCI TİTANİUM POWERSHİFT 144 KM Ford Kuga 2.0 TDCi Titanium,2.0 TDCi Titanium
Ford,15/02/2021,Akyurt/Akyurt,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,160000,Fiesta,2010,111900,...HATASIZ..   ...BOYASIZ..   ...AZ YAKIT TASARRUFLU..BAKIMLI Ford Fiesta 1.4 TDCi Titanium,1.4 TDCi Titanium
Ford,15/02/2021,Serdivan/Merkez,3001-3500 cc,Bilmiyorum,Galeriden,Dizel,Otomatik Vites,206000,Ranger,2014,210000,HATASIZ FORD RANGER 3.2TDCİ WİLD TRAK 4 4  200HP  DİZEL OTOMATİK Ford Ranger 3.2 TDCi Wild Trak,3.2 TDCi Wild Trak
Ford,15/02/2021,Kızıltepe/Kızıltepe,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,154000,Focus,2015,136000,2015 MODEL FORD FOCUS TAKAS DESTEĞİ KREDİ İMKANI Ford Focus 1.6 TDCi Trend X,1.6 TDCi Trend X
Ford,15/02/2021,Kocasinan,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,82000,Focus,2017,223750,2017 1.5 TDCİ 120PS OTOMATİK FULL FULL TİTANİUM FORD FOCUS Ford Focus 1.5 TDCi Titanium,1.5 TDCi Titanium
Ford,15/02/2021,Palu/Merkez,1301-1600 cc,Bilmiyorum,Galeriden,Benzin/LPG,Düz Vites,87000,Focus,2014,164500,KARABULUT OTOMOTİVDEN HATASIZ BOYASIZ FORD FOCUS TİTANİUM Ford Focus 1.6 Ti-VCT Titanium,1.6 Ti-VCT Titanium
Ford,15/02/2021,Kilis/Kilis,1801-2000 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,226000,Mondeo,2012,128000,YILDIZLAR OTOMOTİVDEN 2012 Ford Mondeo 2.0 TDCi Trend Ford Mondeo 2.0 TDCi Trend,2.0 TDCi Trend
Ford,15/02/2021,Maltepe/İdealtepe,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,225000,Focus,2008,75500,2008 MODEL FORD FOCUS GHİA 1.6 DİZEL MANUEL 225.000 KM DE Ford Focus 1.6 TDCi Ghia,1.6 TDCi Ghia
Ford,15/02/2021,Ümraniye/Merkez,2001-2500 cc,Bilmiyorum,Galeriden,Dizel,Otomatik Vites,290000,Ranger,2011,125000,DEVELİ OTOMOTİV DEN OTOMATİK 4X2 RANGER Hİ RİDER XLT 2011 Ford Ranger 2.5 TDCi XLT,2.5 TDCi XLT
Ford,15/02/2021,Avcılar,1301-1600 cc,Bilmiyorum,Galeriden,Benzin,Otomatik Vites,130000,Fiesta,2009,109000,FORD FIESTA 1.4 TITANIUM   TAM OTOMATİK   DEĞİŞENSİZ - EN DOLUSU Ford Fiesta 1.4 Titanium,1.4 Titanium
Ford,15/02/2021,Merkez/Merkez,1301-1600 cc,Bilmiyorum,Galeriden,Benzin/LPG,Otomatik Vites,68000,Fiesta,2012,142000,AKBAŞ PLAZA DAN 2012 FORD FİESTA OTOMATİK LPG Lİ FULL PAKET Ford Fiesta 1.4 Titanium,1.4 Titanium
Ford,15/02/2021,Merkez/Merkez,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,268000,Focus,2009,97500,İNCİ OTOMOTİVDEN EMSALSİZ TEMİZLİKTE TİTANİUM... Ford Focus 1.6 TDCi Titanium,1.6 TDCi Titanium
Ford,15/02/2021,Seyhan/Merkez,1301-1600 cc,Bilmiyorum,Galeriden,Benzin/LPG,Düz Vites,260000,Focus,2002,65500,SİSLİ den 2002 MODEL FORD FOCUS GHİA BENZİN LPG Ford Focus 1.6 Ghia,1.6 Ghia
Ford,15/02/2021,Merkez/Merkez,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,131000,Focus,2015,132900,CDR MOTORS - 2015 MODEL FORD FOCUS 1.6 TDCi TREND X 95HP Ford Focus 1.6 TDCi Trend X,1.6 TDCi Trend X
Ford,15/02/2021,Nusaybin/Nusaybin,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,81000,Focus,2018,194750,2018 MODEL HATASIZ BOYASIZ OTOMATİK VİTES 81 BİN KMDE Ford Focus 1.5 TDCi Trend X,1.5 TDCi Trend X
Ford,15/02/2021,Merkez/Soğuksu,1301-1600 cc,Bilmiyorum,Galeriden,Benzin,Düz Vites,112500,Focus,2015,165000,BOYASIZ...YETKİLİ SERVİS BAKIMLI Ford Focus 1.6 Ti-VCT Titanium,1.6 Ti-VCT Titanium
Ford,15/02/2021,Toroslar/Toroslar,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,215000,Fiesta,2013,86500,ACİLL   FORD FİESTA 1.5 TDCİ TİTANİUM Ford Fiesta 1.5 TDCi Titanium,1.5 TDCi Titanium
Ford,15/02/2021,Çankaya/Gaziosmanpaşa(GOP),1300 cc ve altı,Bilmiyorum,Galeriden,Benzin,Otomatik Vites,0,Puma,2020,251750,2020 MODEL PUMA   0  KM  18KDV   STYLE   KONFOR PAKET Ford Puma 1.0 EcoBoost Style,Diğer
Ford,15/02/2021,Maltepe/Yalı,1300 cc ve altı,Bilmiyorum,Galeriden,Benzin,Otomatik Vites,22000,Fiesta,2019,184750,2019 FİESTA TİTANİUM OTOMATİK 22.000 KM BOYASIZ HATASIZ GARANTİL Ford Fiesta 1.0 Titanium,1.0 Titanium
Ford,15/02/2021,,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,145000,Focus,2011,112000,2011 TİTANİUM X SUNROOF MERCEK FAR DERİ KOLTUK 145 BİNDE Ford Focus 1.6 TDCi Titanium X,1.6 TDCi Titanium X
Ford,15/02/2021,Alanya/Alanya,1301-1600 cc,Bilmiyorum,Galeriden,Benzin/LPG,Düz Vites,160000,Fiesta,2011,86500,2011 FORD FİESTA 1.4 TİTANİUM   LPG   160.ooo KM Ford Fiesta 1.4 Titanium,1.4 Titanium
Ford,15/02/2021,Kadıköy/Erenköy,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Otomatik Vites,54000,Focus,2019,249000,2019 FORD FOCUS 1.5 TDCI TREND X  18KDV GARANTİLİ Ford Focus 1.5 TDCi Trend X,1.5 TDCi Trend X
Ford,15/02/2021,Şehitkamil,1300 cc ve altı,Bilmiyorum,Galeriden,Dizel,Düz Vites,191000,Focus,2008,84000,ÖZGÜR OTOMOTİV 2008 FOCUS COLLECTİON 190 BİN KM HIZ SABİTLEMELİ Ford Focus 1.6 TDCi Collection,1.6 TDCi Collection
Ford,15/02/2021,,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,118000,Focus,2016,159000,ŞAHİN AUTO DAN FORD FOCUS 2016 1.6 DİZEL TEMİZ Ford Focus 1.6 TDCi Trend X,1.6 TDCi Trend X
Ford,15/02/2021,,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,180000,Focus,2014,125000,ŞAHİN AUTO DAN 2014 FORD FOCUS 1.6 DİZEL TEMİZ Ford Focus 1.6 TDCi Trend X,1.6 TDCi Trend X
Ford,15/02/2021,Akyurt/Merkez,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,251000,Focus,2010,105900,2010 FOCUS 1.6TDCİ TİTANİUM X SUNROOF ORJİNAL AĞIRBAKIMLARYENİ Ford Focus 1.6 TDCi Titanium X,1.6 TDCi Titanium X
Ford,15/02/2021,Eyüp,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,95000,Focus,2017,160900,2017 FORD FOCUS 1.6TDCI - TREND X - 95 BİN KM Ford Focus 1.6 TDCi Trend X,1.6 TDCi Trend X
Ford,15/02/2021,Eyüp,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,117000,Fiesta,2016,133900,2016 FİESTA 1.5 TDCİ FİESTA TİTANUM BOYASIZ 117 BİN KM Ford Fiesta 1.5 TDCi Titanium,1.5 TDCi Titanium
Ford,15/02/2021,Derince/Derince,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,187000,Focus,2008,90500,DORUK MOTORS KOCAELİ........ DİĞER İLANLARIMIZADA BAKABİLİRSİNİZ Ford Focus 1.6 TDCi Trend,1.6 TDCi Trend
Ford,15/02/2021,Derince/Derince,1301-1600 cc,Bilmiyorum,Galeriden,Benzin/LPG,Düz Vites,336000,Focus,2001,65000,2001 FORD FOCUS 1.6 GHİA EN DOLU PAKET.. Ford Focus 1.6 Ghia,1.6 Ghia
Ford,15/02/2021,Yerköy/Yerköy,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,238000,Focus,2009,109000,2009 MODEL FORD FOCUS TİTANİUM HATASIZ BOYASIZ KAYITSIZ    Ford Focus 1.6 TDCi Titanium,1.6 TDCi Titanium
Ford,15/02/2021,Adapazarı/Adapazarı,1301-1600 cc,Bilmiyorum,Galeriden,Benzin,Düz Vites,20000,C-Max,2015,173750,-20-Bin kmde-2015-Model-Ford-C-Max-1.6-TREND-X-125ps Ford C-Max 1.6 Trend,1.6 Trend
Ford,15/02/2021,Seyhan/Yeşiloba,1301-1600 cc,Bilmiyorum,Galeriden,Benzin/LPG,Düz Vites,224000,Focus,2004,79900,2004 FORD FOCUS 1.6 COLLECTİON HATASIZ BOYASIZ EMSALSİZ.... Ford Focus 1.6 Collection,1.6 Collection
Ford,15/02/2021,Antakya/Merkez,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,78000,Focus,2016,169900,2016 FORD FOCUS TRENDX OTOMATİK DÜŞÜK KM SERVİS BAKIMLI Ford Focus 1.5 TDCi Trend X,1.5 TDCi Trend X
Ford,15/02/2021,Merkez/Merkez,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,191000,Focus,2016,164750,İLK EL NOKTA HATASIZ BOYASIZ TRAMERSİZ 2016 FOCUS TDCİ OTOMATİK Ford Focus 1.5 TDCi Trend X,1.5 TDCi Trend X
Ford,15/02/2021,Şehitkamil/Merve,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,200000,Focus,2016,149000,2016 MODEL OTOMATİK 1.5 TDCİ POWERSHİFT 120 PS Ford Focus 1.5 TDCi Trend X,1.5 TDCi Trend X
Ford,15/02/2021,Seyhan/Merkez,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,40000,Focus,2018,307000,2018 Focus Titanium co-Pilot Dizel Otomatik Cam Tavan Kış Paket Ford Focus 1.5 TDCi Titanium,1.5 TDCi Titanium
Ford,15/02/2021,Şehitkamil/Merkez,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,165000,Fiesta,2017,138000,Akkuş Otomotiv den Hatasız Boyasız 6 İleri Yeni Kasa Fiesta Ford Fiesta 1.5 TDCi Trend,1.5 TDCi Trend
Ford,15/02/2021,Sultanbeyli/TurgutReis,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,239000,Fiesta,2008,73900,17 BİN PEŞİN KALANI SENET VE TAKSİT SECENEKLERİ İLE 1 4 TDCİ Ford Fiesta 1.4 TDCi Comfort,1.4 TDCi Comfort
Ford,15/02/2021,Merkez/Sanayi,1301-1600 cc,Bilmiyorum,Galeriden,Benzin/LPG,Otomatik Vites,204000,Focus,2010,98500,MEMUR BAYANDAN ORJİNAL 2010 MODEL FORD FOCUS OTOMATİK BENZİN LPG Ford Focus 1.6 Trend X,1.6 Trend X
Ford,15/02/2021,Bağcılar/Bağcılar,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,89000,Focus,2017,172000,2017 MODEL FOCUS 1.5 OTOMATİK 89.000 KM Ford Focus 1.5 TDCi Trend X,1.5 TDCi Trend X
Ford,15/02/2021,Merkez/Merkez,2001-2500 cc,Bilmiyorum,Galeriden,Dizel,Otomatik Vites,67000,Ranger,2018,370000,FULL AKSESUARLI KARA İNCİ Ford Ranger 2.2 TDCi XLT,2.2 TDCi XLT
Ford,15/02/2021,Seyhan/Merkez,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,121000,Focus,2016,161900,2016 FOCUS 1.5 DİZEL OTOMATİK 121.000 Kmde TREND X 120 BG Ford Focus 1.5 TDCi Trend X,1.5 TDCi Trend X
Ford,15/02/2021,Seyhan/Merkez,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,139000,Focus,2017,187900,2017 BOYASIZ HATASIZ FOCUS 1.5 DİZEL TİTANİUM 120 BG OTOMATİK FORD FOCUS 1.5 TDCI TITANIUM,1.5 TDCi Titanium
Ford,15/02/2021,Merkezefendi/Merkez,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,117000,Focus,2018,179000,2018 FOCUS SEDAN 1.5 TDCİ TREND X Ford Focus 1.5 TDCi Trend X,1.5 TDCi Trend X
Ford,15/02/2021,Şahinbey/Bağlarbaşı,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,155000,Fiesta,2016,127500,2016 FORD FİESTA 1.5TDCİ BOYASIZ HATASIZ Ford Fiesta 1.5 TDCi Trend,1.5 TDCi Trend
Ford,15/02/2021,Karatay/Karatay,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,186000,Focus,2015,185000,YAŞARLAR MOTORSDAN FORD FOCUS OTOMATİK DİZEL Ford Focus 1.5 TDCi Trend X,1.5 TDCi Trend X
Ford,15/02/2021,,1301-1600 cc,Bilmiyorum,Galeriden,Benzin/LPG,Düz Vites,193000,Escort,1998,38750,TR DE TEK KATALOG RENGİ 1998 MODEL ESCORT 1.6 CLX KLİMA HATASIZ Ford Escort 1.6 CLX,1.6 CLX
Ford,15/02/2021,Esenler/Atışalanı,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,115000,Focus,2017,181900,-BAYRAM AUTO-2017 FOCUS 1.5TDCI TİTANİUM OTOMATİK SERVİS BAKIMLI Ford Focus 1.5 TDCi Titanium,1.5 TDCi Titanium
Ford,15/02/2021,Seyhan/Yeşiloba,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,83000,Focus,2017,189750,BOYASIZ.      FORD FOCUS EMSALSİZ TEMİZLİKTE Ford Focus 1.6 TDCi Style,1.6 TDCi Style
Ford,15/02/2021,Germencik/Ortaklar,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,286000,Fusion,2005,63000,2005 FORD FUSION 1.4 TDCI COMFORT   DEĞİŞENSİZ  ORJİNAL   Ford Fusion 1.4 TDCi Comfort,1.4 TDCi Comfort
Ford,15/02/2021,Seyhan/Yeşiloba,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,144000,Focus,2016,164500,2016 FOCUS 1.5 TDCI TREND X PAKET - BOYASIZ SERVİS BAKIMLI Ford Focus 1.5 TDCi Trend X,1.5 TDCi Trend X
Ford,15/02/2021,Şehitkamil/Merkez,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,207680,Focus,2016,159950,BOYASIZ HATASIZ 2016 FOCUS 1.5 TDCI TREND X 120HP DİZEL OTOMATİK Ford Focus 1.5 TDCi Trend X,1.5 TDCi Trend X
Ford,15/02/2021,Karatay/Karatay,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,243000,Fiesta,2012,90900,BURAK GALERİ DEN DEGİSENSİZ ORJiNAL 2012 DiZEL FORD FiESTA TREND Ford Fiesta 1.4 TDCi Trend,1.4 TDCi Trend
Ford,15/02/2021,Merkez/Merkez,1300 cc ve altı,Bilmiyorum,Galeriden,Dizel,Düz Vites,255000,Fiesta,2006,54900,VİZYONdan 2006 FORD FİESTA COLLECTION FIRSAT ARACI Ford Fiesta 1.4 TDCi Collection,1.4 TDCi Collection
Ford,15/02/2021,Bağcılar/Bağcılar,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Otomatik Vites,26000,Focus,2020,251400,2020 MODEL 26.000KM BOYASIZ DEĞİŞENSİZ FORD FOCUS Ford Focus 1.5 TDCi Trend X,1.5 TDCi Trend X
Ford,15/02/2021,,1301-1600 cc,Bilmiyorum,Galeriden,Benzin,Yarı Otomatik Vites,135000,Fiesta,2015,127950,TOPÇUOĞLU OTOMOTİV DEN FORD FİESTA 1.6 OTOMATİK 135 BİNDE Ford Fiesta 1.6 Titanium,1.6 Titanium
Ford,15/02/2021,Şehitkamil/Gazikent,1301-1600 cc,Bilmiyorum,Galeriden,Benzin/LPG,Düz Vites,270000,Focus,2005,57500,KAPLAN OTOMOTIVDEN FORT FOCUS 1.6 BENZİN LPG Ford Focus 1.6 Comfort,1.6 Comfort
Ford,15/02/2021,Gaziemir/Gaziemir,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,200000,Fiesta,2007,58900,2007 DİZEL FİESTA MASRAFSİZ 200 BİN KM... Ford Fiesta 1.4 TDCi Comfort,1.4 TDCi Comfort
Ford,15/02/2021,Şehitkamil/Merkez,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,137000,Focus,2017,178000,TAZEOĞLU AUTO DAN 2017 MODEL FORD FOCUS Ford Focus 1.6 TDCi Titanium X,1.6 TDCi Titanium X
Ford,15/02/2021,,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,107000,Focus,2017,165000,2017 MODEL FORD FOCUS ŞÜKRÜ OTOMOTİV Ford Focus 1.6 TDCi Trend X,1.6 TDCi Trend X
Ford,15/02/2021,Nusaybin/Nusaybin,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,113000,Fiesta,2012,84500,2012 Model Ford Fiesta Titanyum 113 Binde Hasar kayıtsız Ford Fiesta 1.4 TDCi Titanium,1.4 TDCi Titanium
Ford,15/02/2021,Darıca/Merkez,1301-1600 cc,Bilmiyorum,Galeriden,Benzin/LPG,Düz Vites,250000,Fiesta,2004,53950,ACİL SATILIK ÇOK TEMİZ FORD FİESTA 1.4 TSİ ARAÇ ÇOK TEMİZ Ford Fiesta 1.4 Comfort,1.4 Comfort
Ford,15/02/2021,Torbalı/Merkez,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,195000,C-Max,2006,113000,2006 FORD C-MAX 1.6 TDCi GHIA SUNROOF 36 AY SENETLE TAKSİT  Ford C-Max 1.6 TDCi Ghia,Diğer
Ford,15/02/2021,Bağcılar/Mahmutbey,1300 cc ve altı,Bilmiyorum,Galeriden,Dizel,Otomatik Vites,94000,Galaxy,2012,227950,KAYZEN DEN 2012 GALAXY 2.0 TDCİ 7 KİŞİLİK EMSALSİZ FULL FULL... Ford Galaxy 2.0 TDCi Ghia,2.0 TDCi Ghia
Ford,15/02/2021,Bağcılar/Mahmutbey,1300 cc ve altı,Bilmiyorum,Galeriden,Dizel,Otomatik Vites,46000,Focus,2018,217750,KAYZEN DEN 2018 FOCUS TREND X COMFORT PAKET BOYASIZ OTOMATİK... Ford Focus 1.5 TDCi Trend X,1.5 TDCi Trend X
Ford,15/02/2021,Edremit/Merkez,1300 cc ve altı,Bilmiyorum,Galeriden,Dizel,Düz Vites,1773,Focus,2013,136500,HAMZA OTOMOTİV DEN FORT FOCUS 1.6 TREND X HATASIZ Ford Focus 1.6 TDCi Trend X,1.6 TDCi Trend X
Ford,15/02/2021,Akyurt/Akyurt,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,135000,C-Max,2008,98500,A.HAMİYET OTOMOTİV DEN 2008 MODEL FORD C-MAX DÜŞÜK KM TİTANİUM Ford C-Max 1.6 TDCi Titanium,1.6 TDCi Titanium
Ford,15/02/2021,Akyurt/Akyurt,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,200000,Fiesta,2007,67500,A.HAMİYET OTOMOTİV DEN 2007 MODEL FORD FİESTA SIFIR MASRAF Ford Fiesta 1.4 TDCi Comfort,1.4 TDCi Comfort
Ford,15/02/2021,Akyurt/Akyurt,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,196000,Focus,2011,135000,A.HAMİYET OTOMOTİV DEN 2011 MODEL 1.6TDCİ TİTANİUM FOCUS KUSURSU Ford Focus 1.6 TDCi Titanium,1.6 TDCi Titanium
Ford,15/02/2021,Merkez/Merkez,1300 cc ve altı,Bilmiyorum,Galeriden,Benzin,Otomatik Vites,0,Puma,2020,292900,2020  PUMA  1.0 ECOBOOST ST-LİNE 0 KM HAYALET EKRAN  ISITMA Ford Puma 1.0 EcoBoost ST-Line,Diğer
Ford,15/02/2021,Bağcılar,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Düz Vites,246500,Focus,2012,115000,2012 FORD FOCUS 1 6 TDCI TREND. MANUEL. BAKIMLI  KUSURSUZ Ford Focus 1.6 TDCi Trend,1.6 TDCi Trend
