Brand,Date,District,Engine_capacity,Engine_power,From_who,Fuel_type,Gear_type,Kilometer,Model,Model_year,Price,Title,Variant
BMW,15/02/2021,Kadıköy/Merdivenköy,1301-1600 cc,Bilmiyorum,Galeriden,Benzin,Yarı Otomatik Vites,34000,4 Serisi,2016,465000,2016 MODEL 34.000 KM DE HATASIZ TRAMERSİZ MSPORT BMW 4 Serisi 418i Gran Coupe M Sport,418i Gran Coupe M Sport
BMW,15/02/2021,Esenyurt/Merkez,1801-2000 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,98000,4 Serisi,2015,628499,HAS AUTO DAN 4.20d M sport BOYA EZİK ÇİZİK HASAR KAYDI YOK BMW 4 Serisi 420d M Sport,420d M Sport
BMW,15/02/2021,Büyükçekmece/Büyükçekmece,1801-2000 cc,Bilmiyorum,Galeriden,Dizel,Otomatik Vites,127881,3 Serisi,2017,372000,AKDENİZ AUTO 2017 BMW 3.18D SPORT PLUS SUNROOF LED HAFIZA RECARO BMW 3 Serisi 318d Sport Plus,318d Sport Plus
BMW,15/02/2021,Büyükçekmece/Büyükçekmece,1301-1600 cc,Bilmiyorum,Galeriden,Benzin,Yarı Otomatik Vites,197000,5 Serisi,2014,407000,AKDENİZ AUTO 2014 BMW 5.20İ M SPORT HAYALET ALCANTRA VAKUM ORJ.. BMW 5 Serisi 520i M Sport,520i M Sport
Chevrolet,05/02/2021,Elazığ/Nailbey,1801-2000 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,140000,Captiva,2011,166000,2011 CAPTİVA 140 BİNDE MASRAFSIZ Chevrolet Captiva 2.0 D LT High,2.0 D LT High
Chevrolet,05/02/2021,Merkez/Merkez,1801-2000 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,254000,Captiva,2008,127750,AYDIN OTOMOTİVDEN CHEVROLET CAPTİVA 2008 MODEL 7 KİŞİLİK Chevrolet Captiva 2.0 D LT High,2.0 D LT High
Dacia,15/02/2021,Akyurt/Akyurt,1301-1600 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,40000,Sandero,2018,169999,OTOMATİK   HATASIZ   40 BİN KM  HASAR KAYITSIZ Dacia Sandero 1.5 dCi Stepway Style,Diğer
Honda,15/02/2021,Kadıköy/Göztepe,1301-1600 cc,176-200 BG,Galeriden,Benzin,Otomatik Vites,26000,Civic,2017,256900,AKAR HONDA DAN 2017 CİVİC RS 1.5 TURBO VTEC 182 BG HATASIZ,1.5 RS
BMW,15/02/2021,Esenler/Atışalanı,1301-1600 cc,Bilmiyorum,Galeriden,Benzin,Yarı Otomatik Vites,126000,4 Serisi,2015,348000,BAYRAM AUTO-BMW 4.18İ GRAN COUPE M SPORT BORUSAN ÇIKIŞLI HATASIZ BMW 4 Serisi 418i Gran Coupe M Sport,418i Gran Coupe M Sport
BMW,15/02/2021,Esenler/Atışalanı,1801-2000 cc,Bilmiyorum,Galeriden,Dizel,Otomatik Vites,114000,5 Serisi,2017,699000,-BAYRAM AUTO-2017 5.20d G30 LUXURY LİNE FUL FULL HATASIZ EMSALSİ BMW 5 Serisi 520d Luxury Line,520d Luxury Line
